state,year,parliamentry_consituency,consituency_type,cand_name,cand_gender,party_name,Total_Votes_Polled,electors
Andaman & Nicobar Islands,1977,ANDAMAN & NICOBAR ISLANDS,GEN,Manoranjan Bhakta,Male,indian_national_congress,35400,85308
Andaman & Nicobar Islands,1980,ANDAMAN & NICOBAR ISLANDS,GEN,Ramesh Mazumdar,Male,Independent,109,96084
Andaman & Nicobar Islands,1980,ANDAMAN & NICOBAR ISLANDS,GEN,Kannu Chemy,Male,independents,405,96084
Andaman & Nicobar Islands,1980,BELGAUM,GEN,K.N. Raju,Male,independents,470,96084
Andaman & Nicobar Islands,1980,ANDAMAN & NICOBAR ISLANDS,GEN,Karpu Swamy,Male,independents,1123,96084
Andaman & Nicobar Islands,1980,ANDAMAN & NICOBAR ISLANDS,GEN,K. Kanda Swamy,Male,independents,15856,96084
Andaman & Nicobar Islands,1980,ANDAMAN & NICOBAR ISLANDS,GEN,P.K.S. Prasad,Male,communist_party_of_india_(marxist),16014,96084
Andaman & Nicobar Islands,1980,ANDAMAN & NICOBAR ISLANDS,GEN,Manoranjan Bhakta,Male,Independent,42046,96084
Andaman & Nicobar Islands,1984,ANDAMAN & NICOBAR ISLANDS,GEN,Kandaswamy,Male,independent,505,115565
Andaman & Nicobar Islands,1984,ANDAMAN & NICOBAR ISLANDS,GEN,Mahananda Biswas,Male,independent,780,115565
Andaman & Nicobar Islands,1984,ANDAMAN & NICOBAR ISLANDS,GEN,A.A.J.Hazra,Male,independent,1695,115565
Andaman & Nicobar Islands,1984,ANDAMAN & NICOBAR ISLANDS,GEN,K.Kandaswamy,Male,lok_dal,27883,115565
Andaman & Nicobar Islands,1984,ANDAMAN & NICOBAR ISLANDS,GEN,Manoranjan Bhakta,Male,indian_national_congress,47019,115565
Andaman & Nicobar Islands,1989,ANDAMAN & NICOBAR ISLANDS,GEN,Zubaida Cheku,Female,independent,553,160940
Andaman & Nicobar Islands,1989,ANDAMAN & NICOBAR ISLANDS,GEN,Robert R.,Male,independent,806,160940
Andaman & Nicobar Islands,1989,ANDAMAN & NICOBAR ISLANDS,GEN,Kandaswamy K.,Male,indian_congress_(socialist-_sarat_chandra_sinha),19172,160940
Andaman & Nicobar Islands,1989,ANDAMAN & NICOBAR ISLANDS,GEN,Tapan Bepari,Male,communist_party_of_india_(marxist),34469,160940
Andaman & Nicobar Islands,1989,ANDAMAN & NICOBAR ISLANDS,GEN,Manoranjan Bhakta,Male,indian_national_congress,53383,160940
Andaman & Nicobar Islands,1991,ANDAMAN & NICOBAR ISLANDS,GEN,Unknown,Male,independent,454,169120
Andaman & Nicobar Islands,1991,ANDAMAN & NICOBAR ISLANDS,GEN,Bishnu Pada Ray,Male,bharatiya_janata_party,5208,169120
Andaman & Nicobar Islands,1991,ANDAMAN & NICOBAR ISLANDS,GEN,Tapan Bepari,Male,communist_party_of_india_(marxist),47374,169120
Andaman & Nicobar Islands,1991,ANDAMAN & NICOBAR ISLANDS,GEN,Manoranjan Bhakta,Male,indian_national_congress,54075,169120
Andaman & Nicobar Islands,1996,ANDAMAN & NICOBAR ISLANDS,GEN,Unknown,Male,independent,188,211226
Andaman & Nicobar Islands,1996,ANDAMAN & NICOBAR ISLANDS,GEN,Satyanarayana Rao S,Male,independent,448,211226
Andaman & Nicobar Islands,1996,ANDAMAN & NICOBAR ISLANDS,GEN,Kalimuthu,Male,independent,511,211226
Andaman & Nicobar Islands,1996,BELGAUM,GEN,Mohan N B,Male,janata_party,527,211226
